Job Class,Percentage,Helpful Resources
Management,6.1,https://www.onetonline.org/find/family?f=11
Business and Financial operations,5,https://www.onetonline.org/find/family?f=13
Computer and Mathematical,2.7,https://www.onetonline.org/find/family?f=15
Architecture and Engineering,1.7,https://www.onetonline.org/find/family?f=17
"Life, Physical and Social Science",0.9,https://www.onetonline.org/find/family?f=19
Community and Social Service,1.6,https://www.onetonline.org/find/family?f=21
Legal,0.8,https://www.onetonline.org/find/family?f=23
"Education, training and library",6.1,https://www.onetonline.org/find/family?f=25
"Arts, design, entertainment, sports and media",1.7,https://www.onetonline.org/find/family?f=27
Healthcare practioners and technical,5.5,https://www.onetonline.org/find/family?f=29
Healthcare support,2.8,https://www.onetonline.org/find/family?f=31
Protective service,2.3,https://www.onetonline.org/find/family?f=33
Food preparation and serving,8.3,https://www.onetonline.org/find/family?f=35
Building and grounds cleaning and maintenance,3.7,https://www.onetonline.org/find/family?f=37
Personal care and service,4,https://www.onetonline.org/find/family?f=39
Sales,10.2,https://www.onetonline.org/find/family?f=41
Office and administrative support,15.1,https://www.onetonline.org/find/family?f=43
"Farming, fishing and forestry",0.6,https://www.onetonline.org/find/family?f=45
Construction and extraction,4.3,https://www.onetonline.org/find/family?f=47
"Installation, maintenance and repair",3.8,https://www.onetonline.org/find/family?f=49
Production,6.1,https://www.onetonline.org/find/family?f=51
Transportation and material moving,6.5,https://www.onetonline.org/find/family?f=53
Total,99.8,https://www.onetonline.org/find/all
